,Unnamed: 0,avg_total_reward,avg_snake_size,avg_food_eaten,avg_moves,max_snake_size,max_food_eaten,max_moves,max_total_reward,model,combo
242,242,-11.8176,0.6065,0.0775,4.7555,2,1,18,27.0,26,6
243,243,-12.144400000000001,0.599,0.0505,3.6595,3,2,15,52.5,27,6
244,244,-10.9497,0.6415,0.1085,4.783,3,2,21,54.3,28,6
245,245,-12.18425,0.599,0.036,2.925,3,2,13,53.10000000000001,29,6
246,246,-11.1662,0.633,0.1035,4.904,4,3,21,81.3,30,6
247,247,-12.2713,0.595,0.0365,3.211,3,2,14,54.3,31,6
248,248,-10.99115,0.6385,0.0985,4.771,4,3,23,80.7,32,6
249,249,-12.0937,0.6015,0.029,2.872,3,2,12,54.3,33,6
250,250,-12.333450000000001,0.5935,0.0315,2.7785,3,2,13,54.3,34,6
251,251,-12.1456,0.5985,0.0205,2.6255,3,2,9,54.3,35,6
252,252,-13.06685,0.575,0.0445,7.845,3,2,17,53.400000000000006,0,7
253,253,-13.625150000000001,0.5535,0.0355,6.6425,3,2,16,53.7,1,7
254,254,-11.538549999999999,0.6325,0.0445,9.3135,3,2,22,53.10000000000001,2,7
255,255,-11.889,0.61,0.054,9.14,2,1,21,27.0,3,7
256,256,-13.461549999999999,0.562,0.029,5.785,3,2,15,53.400000000000006,4,7
257,257,-10.9397,0.65,0.038,9.657,2,1,16,27.0,5,7
258,258,-11.454799999999999,0.629,0.0385,9.624,3,2,18,53.7,6,7
259,259,-11.45095,0.633,0.0485,9.377,2,1,22,27.0,7,7
260,260,-11.0219,0.6415,0.0485,9.5355,3,2,17,51.60000000000001,8,7
261,261,-10.98285,0.647,0.033,9.7725,2,1,17,27.0,9,7
262,262,-11.23255,0.637,0.032,9.648,2,1,18,27.0,10,7
263,263,-11.085450000000002,0.6435,0.0315,9.72,3,2,17,51.6,11,7
264,264,-11.5844,0.6245,0.0515,9.254,3,2,24,54.3,12,7
265,265,-11.08,0.6475,0.0515,9.4795,3,2,24,53.1,13,7
266,266,-11.62825,0.6265,0.0575,8.943,3,2,25,54.3,14,7
267,267,-10.82845,0.651,0.0365,9.8835,3,2,20,52.2,15,7
268,268,-13.24825,0.5695,0.04,7.278,3,2,21,54.3,16,7
269,269,-11.1157,0.6445,0.029,9.8775,3,2,17,54.0,17,7
270,270,-13.502,0.562,0.0325,6.349,4,3,17,81.0,18,7
271,271,-11.572700000000001,0.6265,0.045,9.2305,3,2,21,53.1,19,7
272,272,-13.5112,0.563,0.0245,5.803,2,1,14,27.0,20,7
273,273,-11.551900000000002,0.627,0.0425,9.3545,2,1,19,27.0,21,7
274,274,-11.202200000000001,0.644,0.043,9.452,3,2,22,53.7,22,7
275,275,-10.64385,0.657,0.041,9.768,2,1,17,27.0,23,7
276,276,-11.1059,0.644,0.0305,9.6865,2,1,17,27.0,24,7
277,277,-12.1069,0.614,0.0475,9.1645,3,2,29,54.3,25,7
278,278,-11.350200000000001,0.63,0.0445,9.268,2,2,20,27.0,26,7
279,279,-12.967000000000002,0.5795,0.0425,7.866,3,2,23,53.1,27,7
280,280,-11.512150000000002,0.6355,0.0435,9.289,2,1,27,27.0,28,7
281,281,-13.305150000000001,0.5695,0.038,6.724,3,2,18,54.3,29,7
282,282,-11.54925,0.6265,0.055,9.239,3,2,25,54.3,30,7
283,283,-13.254600000000002,0.568,0.044,7.4415,3,2,23,54.3,31,7
284,284,-11.65845,0.627,0.051,9.097,3,2,22,54.3,32,7
285,285,-13.5948,0.5585,0.035,6.5295,4,3,16,81.0,33,7
286,286,-13.682300000000001,0.557,0.0285,6.521,2,1,16,27.0,34,7
287,287,-13.570799999999998,0.5555,0.0335,6.0035,3,2,15,54.0,35,7
288,288,-12.18195,0.599,0.041,3.5775,3,2,14,54.3,0,8
289,289,-12.286150000000001,0.593,0.0365,2.9695,3,2,12,54.0,1,8
290,290,-11.90335,0.61,0.073,4.7,3,2,17,54.3,2,8
291,291,-11.65255,0.6135,0.075,4.412,4,3,22,81.0,3,8
